,Majority protein IDs,Gene_name_canonical,cluster_annotation,Graph-based_localization_annotation,consensus_graph_annnotation
6300,Q86TM6;B3KX82;Q8TEH6;E9PMA1,SYVN1,ER,ER,ER
6301,Q86TN4;A0A024R5C2;F5H6B6,TRPT1,nucleus,nucleus,nucleus
6302,Q86TP1;A0A3B3ITN0,PRUNE1,cytosol,cytosol,cytosol
6303,Q86TV6,TTC7B,plasma_membrane,plasma_membrane,plasma_membrane
6304,Q86TW2,ADCK1,mitochondrion,mitochondrion,mitochondrion
6305,Q86TZ8,Q86TZ8[p],nucleus,nucleus,nucleus
6306,Q86U28;J3QSS7,ISCA2,mitochondrion,mitochondrion,mitochondrion
6307,Q86U38;Q5HYL4;A0A3B3ISH6,NOP9,nucleolus,nucleolus,nucleolus
6308,Q86U42,PABPN1,nucleus,nucleus,nucleus
6309,Q86U44;B4E2F6;B3KSH0;H0YFV6;F5H6D8;B4DTN4,METTL3,unclassified,unclassified,unclassified
6310,Q86U75,SDF2L1,ER,ER,ER
6311,Q86U86;E7EVG2;H0Y5B5,PBRM1,nucleus,nucleus,nucleus
6312,Q86U90,YRDC,cytosol,unclassified,cytosol
6313,Q86UA1,PRPF39,cytosol,cytosol,cytosol
6314,Q86UA6,RPAIN,cytosol,cytosol,cytosol
6315,Q86UB9;A8K6Y9;B4DYK0;E9PQL0;B4DKZ1,TMEM135,peroxisome,peroxisome,peroxisome
6316,Q86UD0,SAPCD2,unclassified,unclassified,unclassified
6317,Q86UE8,TLK2,nucleus,nucleus,nucleus
6318,Q86UK7,ZNF598,stress_granule,stress_granule,stress_granule
6319,Q86UL3;Q8NDD3,GPAT4,ER,ER,ER
6320,Q86US8,SMG6,stress_granule,stress_granule,stress_granule
6321,Q86UT6;B7Z889,NLRX1,mitochondrion,mitochondrion,mitochondrion
6322,Q86UT8;E9PJ16;E9PPT8,CENATAC,nucleus,nucleus,nucleus
6323,Q86UV5;B7ZKS3,USP48,nucleus,nucleus,nucleus
6324,Q86UW6;H0YA93,N4BP2,unclassified,unclassified,unclassified
6325,Q86UY8,NT5DC3,mitochondrion,mitochondrion,mitochondrion
6326,Q86V15;B3KRV8,CASZ1,nucleus,nucleus,nucleus
6327,Q86V59,PNMA8A,nucleolus,nucleolus,nucleolus
6328,Q86V81,ALYREF,nucleus,nucleus,nucleus
6329,Q86V85,GPR180,ERGIC,ER,ER
6330,Q86V87,FHIP2B,cytosol,cytosol,cytosol
6331,Q86V97;B4DS93,KBTBD6,cytosol,cytosol,cytosol
6332,Q86VE0,MYPOP,nucleus,nucleus,nucleus
6333,Q86VN1;A0A3B3ISW7;Q59H03,VPS36,unclassified,unclassified,unclassified
6334,Q86VP6;A8K8U1,CAND1,cytosol,cytosol,cytosol
6335,Q86VQ1,GLCCI1,14-3-3_scaffold,cytosol,cytosol
6336,Q86VR2;K7ENZ6;K7EMF4;K7ELM8;K7EJ34;K7ENF4;K7EQI9,RETREG3,ER,ER,ER
6337,Q86VS8;Q2VJ45,HOOK3,stress_granule,stress_granule,stress_granule
6338,Q86VV8;A0A7I2V670,RTTN,unclassified,unclassified,unclassified
6339,Q86VX9;A0A0A0MSQ9,MON1A,lysosome,lysosome,lysosome
6340,Q86W33,TPRA1,trans-Golgi,trans-Golgi,trans-Golgi
6341,Q86W34;J3KSH1;J3KS38;J3KRS2;J3QLK6;J3KRD0,AMZ2,unclassified,unclassified,unclassified
6342,Q86W42,THOC6,nucleus,nucleus,nucleus
6343,Q86W50;B7Z3X7,METTL16,translation,translation,translation
6344,Q86W56;Q0MQR4,PARG,unclassified,unclassified,unclassified
6345,Q86W92;A0A024RB02,PPFIBP1,actin_cytoskeleton,plasma_membrane,plasma_membrane
6346,Q86WA8;E7EN44;B4DGU5,LONP2,peroxisome,peroxisome,peroxisome
6347,Q86WC4;A0A0A0MSP4,OSTM1,lysosome,lysosome,lysosome
6348,Q86WJ1;X5D2E5;A0A494C1F7;A0A0A0MSH9;A0A494C1P7;A0A0A0MRH8;B4DLS6;A0A494C179,CHD1L,ER,ER,ER
6349,Q86WJ2,PTPRK,plasma_membrane,plasma_membrane,plasma_membrane
6350,Q86WQ0;U3KQ53,NR2C2AP,cytosol,cytosol,cytosol
6351,Q86WR7;D3DRR9,PROSER2,unclassified,plasma_membrane,plasma_membrane
6352,Q86WT1,IFT70A,unclassified,unclassified,unclassified
6353,Q86WW8;B9A057,COA5,nucleus,nucleus,nucleus
6354,Q86X10;A2A2F0;A0A0J9YW54,RALGAPB,recycling_endosome,recycling_endosome,recycling_endosome
6355,Q86X27,RALGPS2,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
6356,S4R3V8;Q86X29;Q9BWS2,LSR,plasma_membrane,plasma_membrane,plasma_membrane
6357,Q86X52,CHSY1,Golgi,Golgi,Golgi
6358,Q86X55;K7EQA8,CARM1,cytosol,cytosol,cytosol
6359,Q86X76;B7Z410;B2R8D1,NIT1,mitochondrion,mitochondrion,mitochondrion
6360,Q86X83;F8WBW1,COMMD2,early_endosome,early_endosome,early_endosome
6361,Q86X95;A0PJI7,CIR1,nucleolus,nucleolus,nucleolus
6362,Q86XI2;B3KRQ2;H0Y6U5,NCAPG2,translation,translation,translation
6363,Q86XK2;B4E272;B4DMF8;H0YAV3,FBXO11,stress_granule,stress_granule,stress_granule
6364,Q86XK3,SFR1,unclassified,unclassified,unclassified
6365,Q86XL3;A0A220T1R9,ANKLE2,ER,ER,ER
6366,Q86XN7;B7Z607;Q5JS36,PROSER1,unclassified,unclassified,unclassified
6367,Q86XN8,MEX3D,nucleus,nucleus,nucleus
6368,Q86XP3;A0A0A0MSJ0;B3KTL4,DDX42,nucleus,nucleus,nucleus
6369,Q86XS8;Q1WWL6;E5RI87,RNF130,plasma_membrane,plasma_membrane,plasma_membrane
6370,Q86XX4,FRAS1,early_endosome,ER,ER
6371,Q86Y07;Q05CR6;A8K9L2;B7Z2X1,VRK2,ER,ER,ER
6372,Q86Y13;D3DN61;C9J9M8;B4DH79,DZIP3,stress_granule,stress_granule,stress_granule
6373,Q86Y37,CACUL1,unclassified,unclassified,unclassified
6374,Q86Y39;K7EQ77;K7EK78;K7EP35;K7EMT4,NDUFA11,nucleus,nucleus,nucleus
6375,Q86Y56;H0Y650,DNAAF5,cytosol,cytosol,cytosol
6376,Q86Y79;A0A096LP22;A0A096LP34,PTRH1,nucleus,nucleus,nucleus
6377,Q86Y82;Q6LEU0;B4DSZ1,STX12,recycling_endosome,recycling_endosome,recycling_endosome
6378,Q86Y91;A0A494BYR6,KIF18B,nucleus,nucleus,nucleus
6379,Q86Y97;A0A0D9SF94,KMT5C,nucleus,nucleus,nucleus
6380,Q86YA3;G3XAL8,ZGRF1,cytosol,cytosol,cytosol
6381,Q86YA6,BCORL1,nucleus,nucleus,nucleus
6382,Q86YC2;A0A386NC12;A0A386NG36;A0A386NDA4;A0A386NC04;A0A386NFW8,PALB2,nucleus,nucleus,nucleus
6383,Q86YD1;M0QY25;M0QYQ4;M0QYH7,PTOV1,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
6384,Q86YH6;B2RE48;B4DWD3;B4DKU5,PDSS2,mitochondrion,mitochondrion,mitochondrion
6385,Q86YM7;Q5U5K4,HOMER1,unclassified,unclassified,unclassified
6386,Q86YQ0;A0A140VK67;Q96MX6,DNAAF10,unclassified,translation,translation
6387,Q86YQ8;E7ENV7;Q8N7E6,CPNE8,plasma_membrane,plasma_membrane,plasma_membrane
6388,Q86YS6,RAB43,trans-Golgi,trans-Golgi,trans-Golgi
6389,Q86YT6;B3KRA8,MIB1,centrosome,centrosome,centrosome
6390,Q86YV9,HPS6,cytosol,cytosol,cytosol
6391,Q8IU60,DCP2,p-body,p-body,p-body
6392,Q8IU81;B2RCD8,IRF2BP1,unclassified,unclassified,unclassified
6393,Q8IU85;Q5SQQ7;A0A087WUR6,CAMK1D,cytosol,cytosol,cytosol
6394,X6RLX0;Q8IUD2;G8JLD3;X6RM00;B4DG07,ERC1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6395,Q8IUE6,H2AC21,unclassified,nucleus,nucleus
6396,Q8IUF1;C9J3G2;Q9BRT8;B7Z4F3;A0A087X140;B7Z8M0;F2Z2T4,ZNG1B,cytosol,cytosol,cytosol
6397,Q8IUH3,RBM45,nucleus,nucleus,nucleus
6398,Q8IUH4;A8K5N3,ZDHHC13,Golgi,Golgi,Golgi
6399,Q8IUI2,Q8IUI2[p],nucleus,nucleus,nucleus
6400,Q8IUI8;B4DJU5,CRLF3,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
6401,Q8IUR0;M0QZQ8,TRAPPC5,trans-Golgi,trans-Golgi,trans-Golgi
6402,Q8IUR7;B7Z5P0;G5E9V6,ARMC8,cytosol,cytosol,cytosol
6403,Q8IUS5,EPHX4,ER,ER,ER
6404,Q8IUW5;D6RBN9,RELL1,plasma_membrane,plasma_membrane,plasma_membrane
6405,Q8IUX1;B4DP48,TMEM126B,mitochondrion,mitochondrion,mitochondrion
6406,Q8IUY4,KIAA0930,Golgi,Golgi,Golgi
6407,Q8IV32,CCDC71,plasma_membrane,nucleus,nucleus
6408,Q8IV33,KIAA0825,unclassified,unclassified,unclassified
6409,Q8IV36;B4E226;Q8NC03,HID1,unclassified,unclassified,unclassified
6410,Q8IVF2,AHNAK2,plasma_membrane,plasma_membrane,plasma_membrane
6411,Q8IVH2;B7ZBM3;Q96AP5,FOXP4,nucleus,nucleus,nucleus
6412,Q8IVH8;A8K602;F5H5A3,MAP4K3,unclassified,unclassified,unclassified
6413,Q8IVL6,P3H3,ER,ER,ER
6414,Q8IVM0,CCDC50,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6415,Q8IVP5,FUNDC1,mitochondrion,mitochondrion,mitochondrion
6416,Q8IVS2,MCAT,mitochondrion,mitochondrion,mitochondrion
6417,Q8IVW6;B4DQB0;B4DXL8,ARID3B,nucleus,nucleus,nucleus
6418,Q8IW35;E9PG22;B4DGU8,CEP97,centrosome,unclassified,centrosome
6419,Q8IW41;R4GN33,MAPKAPK5,cytosol,cytosol,cytosol
6420,Q8IW50;Q5T593;A0A0A0MRW3;A0A0A0MRW0;A0A0A0MRV9;A0A0A0MRW1,FAM219A,trans-Golgi,trans-Golgi,trans-Golgi
6421,Q8IWA0;A8K330,WDR75,nucleolus,nucleus,nucleus
6422,Q8IWA4;Q4AEJ3;Q4AEJ4;Q6AI38;Q05CV7;H7C5H5,MFN1,mitochondrion,mitochondrion,mitochondrion
6423,Q8IWB1,ITPRIP,ER,ER,ER
6424,Q8IWB9;A0A087WVA8;B3KR82;J3KRZ8;Q2YDX6,TEX2,ER,ER,ER
6425,Q8IWC1;A0A0A0MRP0,MAP7D3,unclassified,unclassified,unclassified
6426,Q8IWE5;A0A2R8Y575,PLEKHM2,early_endosome,early_endosome,early_endosome
6427,Q8IWF6,DENND6A,plasma_membrane,unclassified,plasma_membrane
6428,Q8IWI9,MGA,nucleus,nucleus,nucleus
6429,Q8IWJ2;D3DX70;B8ZZW2,GCC2,Golgi,Golgi,Golgi
6430,Q8IWQ3;A0A140VJF6,BRSK2,cytosol,cytosol,cytosol
6431,Q8IWR0;I3L2K5;Q9NXC8,ZC3H7A,stress_granule,stress_granule,stress_granule
6432,Q8IWS0,PHF6,nucleolus,nucleus,nucleus
6433,Q8IWT0,ZBTB8OS,cytosol,cytosol,cytosol
6434,Q8IWT3;E9PEZ1,CUL9,cytosol,unclassified,cytosol
6435,Q8IWU2;A2VDI9,LMTK2,recycling_endosome,recycling_endosome,recycling_endosome
6436,Q8IWU5,SULF2,unclassified,unclassified,unclassified
6437,Q8IWV7;A0A087WTJ9;A8K901,UBR1,cytosol,cytosol,cytosol
6438,Q8IWV8;B4E215,UBR2,cytosol,cytosol,cytosol
6439,Q8IWX8;J3QK89;B4DPM4,CHERP,nucleus,nucleus,nucleus
6440,Q8IWY8;A0A0C4DGM2;Q96AG1;Q8N9Y7,ZSCAN29,nucleus,nucleus,nucleus
6441,Q8IWY9,CDAN1,unclassified,unclassified,unclassified
6442,Q8IWZ3,ANKHD1,stress_granule,stress_granule,stress_granule
6443,Q8IWZ6,BBS7,cytosol,cytosol,cytosol
6444,Q8IWZ8;A8K7S0;A5PLN4;A0A024R7N3,SUGP1,nucleus,nucleus,nucleus
6445,Q8IX04,UEVLD,cytosol,cytosol,cytosol
6446,Q8IX05;A0A087WT00,CD302,recycling_endosome,recycling_endosome,recycling_endosome
6447,Q8IX12;A0A0C4DGG8;F5H2E6;F5H1H2,CCAR1,nucleus,nucleus,nucleus
6448,Q8IX18;B3KRC7,DHX40,nucleus,unclassified,nucleus
6449,Q8IX21;B1AL16;A0A3B3IRS8,SLF2,nucleus,nucleus,nucleus
6450,Q8IX90,SKA3,unclassified,unclassified,unclassified
6451,Q8IXI1,RHOT2,mitochondrion,mitochondrion,mitochondrion
6452,Q8IXI2;H7BXZ6,RHOT1,mitochondrion,mitochondrion,mitochondrion
6453,Q8IXJ6;A0A024R0G8;A0A087WYM3;A0A0A0MRF5;E7EWX6;A7VJH3,SIRT2,cytosol,cytosol,cytosol
6454,Q8IXJ9;A0A2R8Y5U1;Q76L82;B3KVI8;A0A494C1R1,ASXL1,nucleus,nucleus,nucleus
6455,Q8IXM2,BAP18,nucleus,nucleus,nucleus
6456,Q8IXM3,MRPL41,mitochondrion,mitochondrion,mitochondrion
6457,Q8IXQ3,C9orf40,cytosol,cytosol,cytosol
6458,Q8IXQ5;A8K364;B7Z4H7;B7Z4J1,KLHL7,plasma_membrane,plasma_membrane,plasma_membrane
6459,Q8IXT5;B9ZVT1,RBM12B,nucleus,nucleus,nucleus
6460,Q8IXU6,SLC35F2,recycling_endosome,recycling_endosome,recycling_endosome
6461,Q8IXW5,RPAP2,unclassified,unclassified,unclassified
6462,Q8IY18;B4E265,SMC5,nucleus,nucleus,nucleus
6463,Q8IY22;A0A087WY48;B7Z942;A0A087WU05,CMIP,cytosol,cytosol,cytosol
6464,Q8IY37,DHX37,nucleolus,nucleolus,nucleolus
6465,Q8IY45;F5H1R2,AMN1,cytosol,cytosol,cytosol
6466,Q8IY57,YAF2,nucleus,nucleus,nucleus
6467,Q8IY81,FTSJ3,nucleolus,nucleolus,nucleolus
6468,Q8IY92,SLX4,nucleus,nucleus,nucleus
6469,Q8IY95,TMEM192,lysosome,lysosome,lysosome
6470,Q8IYA6,CKAP2L,nucleus,nucleus,nucleus
6471,Q8IYB7;B4DI15,DIS3L2,cytosol,cytosol,cytosol
6472,Q8IYB8;B7Z611,SUPV3L1,mitochondrion,mitochondrion,mitochondrion
6473,Q8IYD1;B4DQM6,GSPT2,unclassified,unclassified,unclassified
6474,Q8IYH5,ZZZ3,nucleus,nucleus,nucleus
6475,Q8IYI6,EXOC8,actin_cytoskeleton,plasma_membrane,plasma_membrane
6476,Q8IYL2,TRMT44,cytosol,cytosol,cytosol
6477,Q8IYL3;A0A7P0T887,C1orf174,nucleus,nucleus,nucleus
6478,Q8IYN2;Q5H9L1,TCEAL8,unclassified,nucleus,nucleus
6479,Q8IYQ7;Q8N9J5,THNSL1,mitochondrion,mitochondrion,mitochondrion
6480,Q8IYR2;I3L428,SMYD4,cytosol,cytosol,cytosol
6481,Q8IYS0;E9PHT3;B3KSA7,GRAMD1C,nucleolus,nucleus,nucleus
6482,Q8IYS1,PM20D2,cytosol,cytosol,cytosol
6483,Q8IYS2,KIAA2013,Golgi,Golgi,Golgi
6484,Q8IYT4;K7EM02;K7EIJ8,KATNAL2,unclassified,ER,ER
6485,Q8IYU2,HACE1,cytosol,cytosol,cytosol
6486,Q8IYW5,RNF168,unclassified,nucleus,nucleus
6487,Q8IZ21,PHACTR4,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6488,Q8IZ52,CHPF,Golgi,Golgi,Golgi
6489,Q8IZ73,RPUSD2,cytosol,cytosol,cytosol
6490,Q8IZ81;D6RBS5;D6RHX2,ELMOD2,ER,ER,ER
6491,Q8IZ83;B4DVV1;F5H4B6;B4DQ15,ALDH16A1,cytosol,cytosol,cytosol
6492,Q8IZC4,RTKN2,cytosol,unclassified,cytosol
6493,Q8IZD4,DCP1B,p-body,p-body,p-body
6494,Q8IZE3,SCYL3,cytosol,cytosol,cytosol
6495,Q8IZH2,XRN1,p-body,p-body,p-body
6496,Q8IZJ1,UNC5B,plasma_membrane,plasma_membrane,plasma_membrane
6497,Q8IZR5;J3QRP2,CMTM4,recycling_endosome,recycling_endosome,recycling_endosome
6498,Q8N0V3,RBFA,mitochondrion,mitochondrion,mitochondrion
6499,Q8N0W3;Q8N8I9;B2RDL5,FCSK,cytosol,cytosol,cytosol
6500,Q8N0Z3;B3KX77,SPICE1,centrosome,centrosome,centrosome
6501,Q8N0Z6,TTC5,unclassified,unclassified,unclassified
6502,Q8N0Z8,PUSL1,mitochondrion,mitochondrion,mitochondrion
6503,Q8N108,MIER1,unclassified,cytosol,cytosol
6504,Q8N122;B7Z3S8,RPTOR,lysosome,lysosome,lysosome
6505,Q8N128;G3V583,FAM177A1,trans-Golgi,trans-Golgi,trans-Golgi
6506,Q8N129;A0A0J9YYJ0,CNPY4,ER,ER,ER
6507,Q8N137;A8KAL1,CNTROB,centrosome,centrosome,centrosome
6508,Q8N165,PDIK1L,nucleus,nucleus,nucleus
6509,Q8N196,SIX5,nucleus,nucleus,nucleus
6510,Q8N1B3;D3DWU4;H7C3N1;K7EM37,CCNQ,nucleus,nucleus,nucleus
6511,Q8N1F7;A8K897;H3BVG0,NUP93,ER,nucleus,nucleus
6512,Q8N1F8,STK11IP,lysosome,lysosome,lysosome
6513,Q8N1G0;F8WCX2;H0Y5I5,ZNF687,nucleus,nucleus,nucleus
6514,Q8N1G1,REXO1,nucleus,nucleus,nucleus
6515,Q8N1G2,CMTR1,cytosol,cytosol,cytosol
6516,Q8N1G4,LRRC47,stress_granule,stress_granule,stress_granule
6517,Q8N1Q1,CA13,cytosol,cytosol,cytosol
6518,Q8N1W2,ZNF710,nucleus,nucleus,nucleus
6519,Q8N201,INTS1,nucleus,nucleus,nucleus
6520,Q8N2F6;A0A0J9YWR7;A0A0J9YXE4;H7BXQ8;C9J5N7;H7C2M7,ARMC10,mitochondrion,mitochondrion,mitochondrion
6521,Q8N2K0;A0A5F9ZHQ0;A0A5F9ZHQ8;A0A5F9ZH71;A0A5F9ZH49;A0A5F9ZHH2;I3L206,ABHD12,ER,ER,ER
6522,Q8N2Q7;J3KQ19;C9J4D3,NLGN1,plasma_membrane,plasma_membrane,plasma_membrane
6523,Q8N2W9;Q53H55;B3KMR4,PIAS4,unclassified,nucleus,nucleus
6524,Q8N2Z9,CENPS,nucleus,nucleus,nucleus
6525,Q8N300,SVBP,unclassified,unclassified,unclassified
6526,Q8N335,GPD1L,peroxisome,ER,ER
6527,Q8N353,TMEM106B,early_endosome,early_endosome,early_endosome
6528,Q8N357;B4DLH2;B4DS67,SLC35F6,lysosome,lysosome,lysosome
6529,Q8N3C0;B4DR60,ASCC3,translation,translation,translation
6530,Q8N3D4,EHBP1L1,plasma_membrane,plasma_membrane,plasma_membrane
6531,Q8N3E9;D3DX63,PLCD3,plasma_membrane,plasma_membrane,plasma_membrane
6532,Q8N3F0,MTURN,cytosol,cytosol,cytosol
6533,Q8N3R3,TCAIM,nucleus,nucleus,nucleus
6534,Q8TAA5;Q8N3S0,GRPEL2,mitochondrion,mitochondrion,mitochondrion
6535,Q8N3U4;B2R8Y6;Q6MZM4;Q6MZM3;Q6MZP3;B4DQ46,STAG2,nucleus,nucleus,nucleus
6536,Q8N3Y1,FBXW8,cytosol,cytosol,cytosol
6537,Q8N3Z3;Q9P025;A0A087WUP3;F8WBY6,GTPBP8,mitochondrion,mitochondrion,mitochondrion
6538,Q8N3Z6;B4E024;Q05DN1,ZCCHC7,nucleolus,nucleolus,nucleolus
6539,Q8N414,PGBD5,cytosol,cytosol,cytosol
6540,Q8N442,GUF1,mitochondrion,mitochondrion,mitochondrion
6541,Q8N465;G5E9E8;B4E3K7;B5MCV2;B3KRJ2,D2HGDH,mitochondrion,mitochondrion,mitochondrion
6542,Q8N488,RYBP,nucleus,nucleus,nucleus
6543,Q8N4C6;C9J066;E9PN67;H9KV85,NIN,centrosome,centrosome,centrosome
6544,Q8N4C8;A0A590UJE1;Q59FL0,MINK1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6545,Q8N4H5;F8W8Z9,TOMM5,mitochondrion,mitochondrion,mitochondrion
6546,Q8N4J0;B4DSD4;Q5T8V1,CARNMT1,cytosol,unclassified,cytosol
6547,Q8N4L2;E5RIY0,PIP4P2,lysosome,lysosome,lysosome
6548,Q8N4N3,KLHL36,cytosol,cytosol,cytosol
6549,Q8N4P3;H0YNP9;H0YKT9,HDDC3,cytosol,cytosol,cytosol
6550,Q8N4Q0;Q4G1C4,PTGR3,mitochondrion,mitochondrion,mitochondrion
6551,Q8N4T8,CBR4,mitochondrion,mitochondrion,mitochondrion
6552,Q8N4V1,MMGT1,ER,ER,ER
6553,Q8N543;A0A0A0MTR2;H3BR79;H3BUA6,OGFOD1,cytosol,cytosol,cytosol
6554,Q8N556,AFAP1,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6555,Q8N573;H0YC07;Q05CY8,OXR1,cytosol,cytosol,cytosol
6556,Q8N584;G3V1P2;B7Z3X0,TTC39C,early_endosome,cytosol,cytosol
6557,Q8N5C8;F6SS63;Q5JPK0,TAB3,cytosol,cytosol,cytosol
6558,Q8N5D0,WDTC1,cytosol,cytosol,cytosol
6559,Q8N5F7;A0A494C050,NKAP,nucleus,nucleus,nucleus
6560,Q8N5G0;E5RH91,SMIM20,mitochondrion,mitochondrion,mitochondrion
6561,Q8N5G2,MACO1,ER,ER,ER
6562,Q8N5I2;Q5T370,ARRDC1,unclassified,unclassified,unclassified
6563,Q8N5I9;A0A087WT30,NOPCHAP1,cytosol,cytosol,cytosol
6564,Q8N5J2,MINDY1,unclassified,unclassified,unclassified
6565,Q8N5K1;A0A2R8Y540;I3L1N9,CISD2,ER,ER,ER
6566,Q8N5L8,RPP25L,translation,stress_granule,stress_granule
6567,Q8N5M1;C9J2Q2,ATPAF2,mitochondrion,mitochondrion,mitochondrion
6568,Q8N5M4;H0YDR3;E9PKV8,TTC9C,cytosol,cytosol,cytosol
6569,Q8N5M9;Q9BY51,JAGN1,ER,ER,ER
6570,Q8N5N7,MRPL50,mitochondrion,mitochondrion,mitochondrion
6571,Q8N5S9;J3KPJ3,CAMKK1,cytosol,cytosol,cytosol
6572,Q8N5W9;D3DTG8,RFLNB,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6573,Q8N5X7;A0A3B3ITM5,EIF4E3,cytosol,cytosol,cytosol
6574,Q8N5Y3,GYG1,cytosol,cytosol,cytosol
6575,Q8N5Y8,PARP16,ER,ER,ER
6576,Q8N612;E9PJK5;B3KPL0;A8K6N7,FHIP1B,cytosol,cytosol,cytosol
6577,Q8N668;Q53EN2,COMMD1,early_endosome,early_endosome,early_endosome
6578,Q8N680;Q658W5,ZBTB2,nucleus,nucleus,nucleus
6579,Q8N697,SLC15A4,lysosome,lysosome,lysosome
6580,Q8N6H7;G5E9L0;A0A0D9SF70;B3KV00;B4E327;E9PQP3;E9PIY6;H0YDN9,ARFGAP2,unclassified,unclassified,unclassified
6581,Q8N6M0;A0A087X0W9,OTUD6B,unclassified,cytosol,cytosol
6582,Q8N6M3,FITM2,ER,ER,ER
6583,Q8N6N3,C1orf52,cytosol,cytosol,cytosol
6584,Q8N6N6,NATD1,cytosol,cytosol,cytosol
6585,Q8N6N7,ACBD7,cytosol,cytosol,cytosol
6586,Q8N6Q8,METTL25,cytosol,cytosol,cytosol
6587,Q8N6S4,ANKRD13C,cytosol,unclassified,cytosol
6588,Q8N6T3;Q53F62;F8VWH9;F8W1U7;E5RHC5,ARFGAP1,ERGIC,trans-Golgi,trans-Golgi
6589,Q8N6T7;B4DDV3;M0QZ09;B7Z5U1;M0R1N9;M0R1F6;M0QXA0,SIRT6,unclassified,nucleus,nucleus
6590,Q8N766,EMC1,ER,ER,ER
6591,Q8N799;Q86W54;H0YAD3;H0Y992,SPATA24,cytosol,cytosol,cytosol
6592,Q8N7R7,CCNYL1,plasma_membrane,plasma_membrane,plasma_membrane
6593,Q8N806;Q05DA8;B2RDC9;E9PCJ7,UBR7,proteasome,proteasome,proteasome
6594,Q8N8E3;F5GYE8;A2RRR7;B4DR29;B3KUW3;J3QQV3,CEP112,14-3-3_scaffold,14-3-3_scaffold,14-3-3_scaffold
6595,Q8N8J7,FAM241A,ER,ER,ER
6596,Q8N8K9,KIAA1958,unclassified,unclassified,unclassified
6597,Q8N8L6,ARL10,mitochondrion,mitochondrion,mitochondrion
6598,Q8N8N7;V9HW32;G3V3Y1,PTGR2,cytosol,cytosol,cytosol
6599,Q8N8R3,SLC25A29,mitochondrion,mitochondrion,mitochondrion
6600,Q8N8R5,C2orf69,mitochondrion,cytosol,cytosol
6601,Q8N8R7;E9PRK7,ARL14EP,unclassified,unclassified,unclassified
6602,Q8N8S7,ENAH,actin_cytoskeleton,actin_cytoskeleton,actin_cytoskeleton
6603,Q8N8Z6,DCBLD1,plasma_membrane,plasma_membrane,plasma_membrane
6604,Q8N960;A0A6Q8PH95;B4DLH5,CEP120,centrosome,centrosome,centrosome
6605,Q8N961,ABTB2,cytosol,cytosol,cytosol
6606,Q8N999,RLIG1,stress_granule,stress_granule,stress_granule
6607,Q8N9B5,JMY,cytosol,cytosol,cytosol
6608,Q8N9F7;J3QQN7,GDPD1,ER,ER,ER
6609,Q8N9M1,C19orf47,nucleus,nucleus,nucleus
6610,Q8N9M5,TMEM102,cytosol,cytosol,cytosol
6611,Q8N9N5;A0A0S2Z696;B4DE54;A0A0S2Z5M2;A0A0S2Z5G4;B3KM38;A0A0S2Z5C2,BANP,nucleus,nucleus,nucleus
6612,Q8N9Q2,SREK1IP1,nucleus,nucleus,nucleus
6613,Q8N9R8;Q3SXZ0,SCAI,nucleus,nucleus,nucleus
6614,Q8NAF0,ZNF579,nucleus,nucleus,nucleus
6615,Q8NAV1,PRPF38A,nucleolus,nucleus,nucleus
6616,Q8NB14,USP38,cytosol,cytosol,cytosol
6617,Q8NB15,ZNF511,cytosol,cytosol,cytosol
6618,Q8NB49,ATP11C,plasma_membrane,plasma_membrane,plasma_membrane
6619,Q8NB50,ZFP62,nucleus,nucleus,nucleus
6620,Q8NB78;H0Y6H0,KDM1B,nucleus,nucleus,nucleus
6621,Q8NB90;A0A6Q8PGU6,AFG2A,proteasome,proteasome,proteasome
6622,Q8NBA8;D6RBD8,DTWD2,cytosol,cytosol,cytosol
6623,Q8NBF2,NHLRC2,cytosol,cytosol,cytosol
6624,Q8NBI6;A0A140T9D0,XXYLT1,ER,ER,ER
6625,Q8NBJ5,COLGALT1,ER,ER,ER
6626,Q8NBK3;E9PF05;B4DHS1;F5GXA0,SUMF1,ER,ER,ER
6627,Q8NBL1;Q9NRV2;H7C5H0;B4DJ97,POGLUT1,ER,ER,ER
6628,Q8NBL9;Q96S52;B2RBB2;Q96IR5;B4DLL0,PIGS,ER,ER,ER
6629,Q8NBM8;B3KXF9;E7EVZ5,PCYOX1L,ER,ER,ER
6630,Q8NBQ5;D6RCD0,HSD17B11,ER,ER,ER
6631,Q8NBS9,TXNDC5,unclassified,ER,ER
6632,Q8NBT0;B2RDV4,POC1A,nucleus,nucleus,nucleus
6633,Q8NBT2,SPC24,cytosol,cytosol,cytosol
6634,Q8NBU5;B4E2J1;A0A7P0TAM5;A0A7P0T9U2;A0A7P0T9B4,ATAD1,mitochondrion,mitochondrion,mitochondrion
6635,Q8NBY1,STK26,cytosol,cytosol,cytosol
